Name,Allen's Note,Category,Serving g,Calories,Saturated g,Sodium mg,Fibre g,Total Sugar g,Protein g,Fruit Veg Pct,Source
Kashi Golean Original,"Looks good on paper, has a bit of a Kronenberg monster look to it though?",cereal,58,200,0.2,115,13,8,12,0,https://www.kashi.ca/en_CA/products/kashi-golean-original-cereal-product.html
All Bran,"All Bran is not all bran – the second ingredient is sugar! But it's ""a lot bran"", so it cleans up",cereal,41,120,0.2,95,12,9,5,0,http://smartlabel.kelloggs.com/Product/Index/00038000198410
Kashi Golean Toasted Cinnamon Crisp,Tempted to try this now,cereal,50,190,0.4,125,8,9,11,0,https://www.kashi.ca/en_CA/products/kashi-toasted-cinnamon-crisp-cereal-product.html#nutrition-modal
"Cheerios, Plain","Really though, who eats plain Cheerios",cereal,28,100,0.2,140,3,1,3,0,https://www.cheerios.com/products/original-cheerios/
Nature's Path Optimum Power Cereal Blueberry,"I have a box of this right now, it's pretty okay",cereal,55,200,0.3,230,9,9,9,0,https://www.naturespath.com/en-ca/products/natures-path-foods/optimum-power-blueberry-cinnamon-flax-cereal/
Alpen Original,I made the mistake once of buying this no sugar added Alpen. It was not pleasant,cereal,45,170,0.25,15,5,7,6,0,https://www.postconsumerbrands.ca/brand/alpen/original/
Kashi Organic Cinnamon Harvest Cereal,"Have some of this right now, it's fairly good, they're like less sweet Mini Wheats",cereal,55,200,0.1,0,6,9,6,0,https://www.kashi.ca/en_CA/products/kashi-organic-cinnamon-harvest-cereal-product.html/#nutrition-modal
Shreddies,"I used to love Shreddies as a kid, after I paved the entire bowl surface with brown sugar. Not advisable",cereal,55,200,0.2,200,6,9,6,0,https://www.postconsumerbrands.ca/brand/shreddies/products/original-shreddies/
Frosted Mini Wheats,"Mini wheats scored suspiciously well, but it has less sugar than All Bran so 🤷‍♀️",cereal,54,190,0.1,0,6,11,5,0,http://smartlabel.kelloggs.com/en_CA/Product/Index/00064100590007
Special K Low Fat Granola,"I added this to show the perils of granola, but it didn't do so poorly",cereal,54,210,0.3,120,4,10,6,0,http://smartlabel.kelloggs.com/en_CA/Product/Index/00064100729469
Nature's Path Flax Plus Pumpkin Raisin Crunch,"There are a lot of Nature's Path cereals, and a lot of them are a reasonable balance between candy and food",cereal,55,210,0.45,150,7,13,6,0,https://www.naturespath.com/en-ca/products/flax-plus/flax-plus-pumpkin-raisin-crunch/
Nature's Path Vanilla Almond Granola Cereal,This has the most fat per gram of anything on the list,cereal,55,250,0.9,80,5,10,6,0,https://www.naturespath.com/en-ca/products/natures-path-foods/vanilla-almond-flax-granola/
Corn Flakes,"The most nothing of all cereals, the everycereal, the cereal that is neither good nor bad. It is just Corn Flakes.",cereal,42,150,0,300,1,4,3,0,http://smartlabel.kelloggs.com/Product/Index/00038000001277
Rice Krispies,Second most nothing of all cereals,cereal,28,110,0,140,0,3,2,0,http://smartlabel.kelloggs.com/en_CA/Product/Index/00064100595576
Two Scoops Raisin Bran,"Takes a hit for the sugar in the raisins, but holds its own",cereal,55,180,0.1,240,7,14,4,0,http://smartlabel.kelloggs.com/en_CA/Product/Index/00064100108028
Vector,"Anything here and below and I'm too tempted to just eat it on a whim. Amusingly, Vector specifies decimals of nutrients because it's a ""meal replacement"". ",cereal,55,217,0.27,206,3.3,11,5.7,0,http://smartlabel.kelloggs.com/en_CA/Product/Index/00064100036321
Nature's Path Sunrise Crunchy Cinnamon,"Disappointed that this cinnamon one came out so low – it's the tastiest ""healthy"" cereal I've tried",cereal,30,120,0.1,130,3,7,2,0,https://www.naturespath.com/en-ca/products/natures-path-foods/sunrise-crunchy-cinnamon-cereal/
Honey Bunches of Oats w Almonds,"In Honey Bunches of Oats, oats are ingredient number 4. Sugar is 2.",cereal,53,210,0.4,200,3,10,4,0,https://www.postconsumerbrands.ca/brand/honey-bunches-of-oats/products/almonds/
Corn Squares (fka Corn Bran),Not very filling; less healthy than you'd think for a cereal that was called Corn Bran.,cereal,30,110,0.1,250,3,6,1,0,https://www.extrafoods.ca/corn-squares-cereal/p/20637403_EA
Oatmeal Crisp Raisin,"In 2021 they'll be required to break out added sugar from raisin sugar, which might boost this kind of cereal a bit",cereal,61,230,0.25,110,5,17,5,0,https://www.lifemadedelicious.ca/brands/oatmealcrisp/oatmeal-crisp-raisin
Honey Nut Cheerios,Surprisingly bad! This is often cited as the most popular cereal in US and Canada,cereal,29,110,0.15,160,2,9,2,0,https://www.cheerios.ca/products/honey-nut-cheerios/
Cinnamon Toast Crunch,"Whole grain wheat, supposedly",cereal,31,130,0.3,180,2,9,1,0,https://www.cinnamontoastcrunch.com/products/cinnamon-toast-crunch/
Lucky Charms,I did not know whole grain corn was a thing. It did not save Lucky Charms,cereal,27,110,0.1,170,2,10,2,0,https://www.luckycharms.com/products/original-lucky-charms/
Froot Loops,Whole grain corn flour is number two – but sugar is literally the first ingredient,cereal,27,110,0.1,100,2,10,1,0,http://smartlabel.kelloggs.com/en_CA/Product/Index/00064100595729
Fruity Pebbles,"Not even available in Canada, but it's infamous so I added it",cereal,27,110,0.1,140,0,9,1,0,https://www.postconsumerbrands.com/pebbles/
Frosted Flakes,I don't want to think about how much of this I ate as a teenager,cereal,39,140,0,200,0,14,2,0,http://smartlabel.kelloggs.com/Product/Index/00038000199066
Mega Stuf Oreo O's,Special thanks to Cabel Sasser for making me aware of this exquisite specimen,cereal,41,160,0.2,190,1,19,1,0,https://www.postconsumerbrands.com/mega-stuf-oreo-os-cereal/
Larabar Peanut Butter Chocolate Chip,,snack,45,210,3,70,4,16,5,40,https://www.larabar.ca/products/peanut-butter-chocolate-chip/
Larabar Apple,The only bar in my test set that plausibly met the threshold for getting -1 point for being 40% or more whole fruit or veg.,snack,45,200,1,10,4,18,4,40,https://www.larabar.ca/products/apple/
Nature Valley Crunchy Peanut Butter,This is like a classic Nature Valley bar. Thought it'd do better.,snack,46,210,1,180,3,12,4,0,https://www.walmart.ca/en/ip/Nature-Valley-Crunchy-Granola-Bars-Peanut-Butter/206750?classType=REGULAR&from=/search
Nature Valley Lunch Box S'Mores,,snack,26,100,1.5,40,5,6,1,0,https://www.walmart.ca/en/ip/Nature-Valley-Lunchbox-Granola-Bars-S-mores-Kids-Snacks-5-ct/6000199213152?classType=REGULAR&from=/search
Nature Valley Protein Peanut Almond & Dark Chocolate,"An extreme example of protein loaded into something that is otherwise bad for you. Nutri-score says bad bar, do not pass go.",snack,37,190,3,150,2,8,11,0,https://www.walmart.ca/en/ip/Nature-Valley-Protein-Granola-Bars-Peanut-Almond-and-Dark-Chocolate-4-ct/10254350?classType=REGULAR&athbdg=L1600&from=/search
Nature Valley Trail Mix Mixed Berry,These Trail Mix bars are pretty good for where they rank.,snack,35,140,0.3,65,2,8,2,0,https://www.walmart.ca/en/ip/Nature-Valley-Trail-Mix-Mixed-Berry-Chewy-Granola-Bars/206804?classType=REGULAR&from=/search
Quaker Dipps Chocolate Chip,Sweet mother of god.,snack,31,140,2.5,60,1,13,2,0,https://www.walmart.ca/en/ip/Quaker-Dipps-Granola-Bars-Chocolatey-Chip-Caramel-Nut-and-Peanut-Butter/6000188764277?classType=REGULAR&from=/search
Quaker Chewy Smore's,I feel like these must be one of the most common things in kids' lunch boxes?,snack,24,100,1,75,1,6,1,0,https://www.walmart.ca/en/ip/Quaker-Chewy-Smore-s-Granola-Bars/2PFIUN9E5F9K?classType=REGULAR&from=/search
"Kind Healthy Grains, Oats & Honey w Toasted Coconut","But it says ""Healthy Grains""! Saturated fat from the coconut doesn't help.",snack,35,150,1.5,95,2,6,3,0,https://www.walmart.ca/en/ip/KIND-Healthy-Grains-Bars-Oats-Honey-with-Toasted-Coconut-35g-5-Count-Box/6000197608694?classType=REGULAR&athbdg=L1300&from=/search
Kind Cashew Cherry & Dark Chocolate,,snack,40,170,3,20,6,11,4,20,https://www.walmart.ca/en/ip/KIND-Nuts-Cherry-Dark-Chocolate-40g-5-Count-Box/6000200892537?classType=REGULAR&athbdg=L1300&from=/search
CLIF White Chocolate Macadamia Nut,"These kind of bars are less bad than others, but at the end of the day processed calorie-dense food is going to be worse than bulkier fresher food.",snack,68,260,1.5,230,5,17,10,0,https://www.walmart.ca/en/ip/CLIF-BAR-Energy-Bars-White-Chocolate-Macadamia-Nut-Granola-Bar-High-in-Protein-Contains-70-Organic-Ingredients-Pack-of-5/4K5JBWON0655?classType=REGULAR&from=/search
Kashi Honey Oat Flax,I kind of like these so I hoped they would have scored even better. But it turns out that dense carb bar is not an ideal food format.,snack,40,170,1,100,3,9,3,0,https://www.walmart.ca/en/ip/Kashi-Seven-Grain-with-Quinoa-Bars-40-Bars-x-20g-Honey-Oat-Flax-6-Case/5ELDGL015PUR?classType=REGULAR&athbdg=L1700&from=/search
Nutri-Grain Strawberry,It's healthy because it says 'Nutri',snack,37,140,0.5,110,1,14,2,0,https://www.walmart.ca/en/ip/Kellogg-s-Nutri-Grain-Cereal-Bars-295g-Strawberry-8-bars/206658?classType=REGULAR&from=/search
CLIF KID Z-BAR Iced Oatmeal Cookie,So they're less bad than some other bars. But roughly equivalent to a pouch of Cinnamon Toast Crunch.,snack,36,150,1,105,3,10,2,0,https://www.walmart.ca/en/ip/CLIF-KID-ZBAR-Organic-Energy-Snack-Bars-Iced-Oatmeal-Cookie/6000200892881?classType=REGULAR&from=/search
Welch's Fruit Snacks,"It can't be bad for you, it was made from fruit (juice from concentrate)",snack,22,70,0,10,0,10,1,0,https://www.walmart.ca/en/ip/22g-WELCH-S-Fruit-Snacks-Mixed-Fruit-10ct/6000203449326?classType=REGULAR&from=/search
Made Good Chocolate Drizzled Birthday Cake,"Often the flavor, e.g. birthday cake vs. peanut butter, makes a lot less difference than what brand and format the bar is.",snack,24,110,1.5,40,1,6,2,0,https://www.walmart.ca/en/ip/MadeGood-Birthday-Cake-Chocolate-Drizzled-Granola-Bars-5pk/6000203466143?classType=REGULAR&from=/search
SunRype Fruit to Go Fruit Strips,"Fruit juice from concentrate is not whole fruit, friends!",snack,14,45,0,0,1,9,0.2,40,https://www.walmart.ca/en/ip/SunRype-Fruit-to-Go-100-Fruit-Snack-Pack/206501?classType=REGULAR&from=/search
RXBAR Chocolate Chip,Nutri-Score disapproves of loading sugary things with protein to compensate.,snack,52,220,2,200,5,13,12,0,https://www.walmart.ca/en/ip/rxbar-chocolate-chip-protein-bar/6000200025599?classType=REGULAR&from=/search
Oreo Mini Cookies Pouch,"Unlike most of this list, you know what you're getting into with these.",snack,25,120,1.5,115,1,10,1,0,https://www.walmart.ca/en/ip/Oreo-Mini-Original-Chocolate-Sandwich-Cookies-Made-in-a-Peanut-Free-Facility-Individually-Wrapped-Snack-Pack-School-Snacks/6KW0HVMUYA85?classType=REGULAR&athbdg=L1600&from=/search
Goldfish Cheddar Crackers Snack Pack,Expected these to do worse – they're salty cheese crackers. No sugar FTW.,snack,20,90,1,170,1,0,2,0,https://www.costco.ca/goldfish-baked-snack-cheddar-crackers%2C-24-%C3%97-43-g-1.5-oz..product.100417632.html
Made Good Granola Minis Strawberry,Kinda surprised how much fibre these have,snack,24,100,0.5,5,2,6,2,0,https://www.walmart.ca/en/ip/MadeGood-Strawberry-Granola-Minis-5pk/70UP43J9KJ8O?classType=REGULAR&from=/search
Bear Strawberry Fruit Rolls,"These list whole fruit on their ingredients, and have small serving sizes at least.",snack,20,60,0,0,2,8,0,60,https://www.wholefoodsmarket.com/product/bear-strawberry-fruit-rolls-35-oz-b078hngykv
"Think High Protein Bar, Peanut Butter","Highly processed, yes. Artificial sweeteners, yes. But filling.",snack,60,230,3,260,1,0,20,0,https://www.wholefoodsmarket.com/product/think-high-protein-bar-creamy-peanut-butter-21-oz-b000vh7zdc
"Quest Protein Bar, Chocolate Chip Cookie Dough","The letter grade really likes this bar because it's not quite dense enough in ""bad"" nutrients to be penalized for it.",snack,60,200,2.5,190,14,1,21,0,https://www.costco.ca/quest-protein-bars-variety-pack%2C-14-%C3%97-60-g.product.100571876.html
"Simply Protein Crispy Bar, Peanut Butter Chocolate","Not all protein bars score well, but most good-scoring bars are protein bars.",snack,40,170,2,150,7,2,13,0,https://simplyprotein.ca/collections/snack-bars/products/peanut-butter-chocolate-simplyprotein%C2%AE-bar
"ONE Protein Bar, Maple Glazed Doughnut",Maybe least healthy-sounding bar that got a reasonable score.,snack,60,220,5,135,7,1,20,0,https://www.one1brands.com/products/one-bars-maple-glazed-doughnut-flavored-protein-bar-2-12-oz.html
"KIND Zero Bar, Caramel Almond & Sea Salt","Instead of sugar alcohols, KIND Zero uses allulose as its sweetener.",snack,35,140,2.5,75,7,1,5,0,https://www.kindsnacks.com/products/zerog-added-sugar-bar/caramel-almond-and-sea-salt
Walmart Great Value Omega-3 Trail Mix Pack,,snack,43,240,2,0,3,9,7,0,https://www.walmart.com/ip/Great-Value-Omega-3-Trail-Mix-1-5-oz-8-Count/869244646?classType=VARIANT&from=/search
Kirkland Signature Trail Mix Pack w/ M&Ms,"A thoughtful trail mix can be a good snack, but adding candy will put it in the sin bin",snack,57,300,3.5,80,3,19,10,0,https://www.costco.ca/kirkland-signature-trail-mix-snack-packs-28--57-g.product.100798153.html
"Blue Diamond Roasted Salted Almonds, Pack","It's too calorie-dense to get an A rating, but objectively a pretty good pick.",snack,23,140,1,70,2,1,5,0,https://www.costco.ca/blue-diamond-roasted-salted-almonds-18--23-g.product.4000225965.html
A Banana,If only they made these in a foil wrapper,snack,118,105,0.1,1.2,3,14,1.3,100,https://www.nutritionix.com/food/banana
